,Aspirador de pó,Preto
,Forno elétrico,Preto
,Climatizador de ar,
,Filtro de água,
,Geladeira,
,Lavadora de roupa,
,Micro-ondas,
,Lavadora de louças,
,Freezer,
,Juicer,
,Máquina de pão,
